source,news_headline,description,url,datetime,content
Project Syndicate,Do Political Leaders Deserve a Break?,"While some object to the idea of elected officials going on vacation, studies have consistently shown that regular breaks are critical for effective decision-making. But the last thing voters want to see, especially when asked to tighten their belts, is their…",https://www.project-syndicate.org/commentary/vacations-can-improve-political-leaders-decision-making-by-ngaire-woods-2024-08,2024-08-28T11:49:11Z,"While some object to the idea of elected officials going on vacation, studies have consistently shown that regular breaks are critical for effective decision-making. But the last thing voters want to… [+5363 chars]"
Project Syndicate,¿Tienen los políticos derecho a tomarse vacaciones?,Project Syndicate - The World’s Opinion Page,https://www.project-syndicate.org/commentary/vacations-can-improve-political-leaders-decision-making-by-ngaire-woods-2024-08/spanish,2024-08-28T11:49:11Z,"OXFORD Ahora que en el hemisferio norte el verano se despide y la gente vuelve al trabajo, muchos dirigentes políticos se van de vacaciones, con el argumento de que los ayuda a recargarse y funcionar… [+6000 chars]"
Business Standard,"Centre approves Rs 4,136 cr for 15 GW hydropower projects in Northeast","The Union Cabinet on Wednesday approved equity support of Rs 4,136 crore to northeast states for developing hydropower projects, totalling 15,000 MW capacity over the next eight years.
The Cabinet, chaired by Prime Minister Narendra Modi, has approved the pro…",https://www.business-standard.com/india-news/centre-approves-rs-4-136-cr-for-15-gw-hydropower-projects-in-northeast-124082800793_1.html,2024-08-28T11:13:07Z,"A cumulative hydro capacity of about 15,000 MW would be supported under the scheme
The cap of Rs 750 crore for each project would be revisited, if required, on a case-to-case basis. | Photo: PTI
Pr… [+2897 chars]"
Business Today,10 years of Pradhan Mantri Jan Dhan Yojana: 57% account holders are women,"Of the 531.3 million accounts opened in 10 years under the scheme, women account holders comprise 295.6 million",https://www.businesstoday.in/latest/economy/story/10-years-of-pradhan-mantri-jan-dhan-yojana-57-account-holders-are-women-443344-2024-08-28,2024-08-28T11:10:00Z,"Nearly 57% of account holders under the Pradhan Mantri Jan Dhan Yojana are women, indicating greater financial empowerment of women.
According to the latest data shared by the Union finance ministry… [+1805 chars]"
Business Standard,"Cabinet nod to Rs 6,456 cr multi-tracking project, two new lines across IR","The Cabinet Committee on Economic Affairs, chaired by Prime Minister Narendra Modi, has approved three railway projects with a total estimated cost of Rs 6,456 crore, a statement from the Ministry of Railways said.
According to the ministry, the approved proj…",https://www.business-standard.com/india-news/cabinet-nod-to-rs-6-456-cr-multi-tracking-project-two-new-lines-across-ir-124082800799_1.html,2024-08-28T11:07:06Z,"The new line proposals will provide direct connectivity and improve mobility, providing enhanced efficiency and service reliability for the Indian Railways
Representative Image (Photo: PTI)
Press T… [+3022 chars]"
Business Standard,"Uttarakhand to implement Uniform Civil Code by November 9, says CM Dhami","Uttarakhand Uniform Civil Code: Chief Minister Pushkar Singh Dhami announced that the government will implement the Uniform Civil Code (UCC) in Uttarakhand by November 9, which is the state's foundation day",https://www.business-standard.com/india-news/uttarakhand-to-implement-uniform-civil-code-by-november-9-says-cm-dhami-124082800771_1.html,2024-08-28T10:44:26Z,"Chief Minister Pushkar Singh Dhami announced that the government will implement the Uniform Civil Code (UCC) in Uttarakhand by November 9, which is the state's foundation day
Uttarakhand Chief Minis… [+2370 chars]"
The Irish Times,Russia dismisses Zelenskiy’s talk of plan to end war and says it will keep fighting,Ukrainian drones set several oil tanks on fire at an oil depot in Russia’s Rostov oblast,https://www.irishtimes.com/world/europe/2024/08/28/ukraine-russia-war-latest/,2024-08-28T10:36:16Z,The Kremlin on Wednesday dismissed talk by Ukrainian president Volodymyr Zelenskiy about a plan he has to end the war and said Russia would continue what it calls its special military operation in Uk… [+2024 chars]
The Times of India,"Kerala CM Pinarayi Vijayan calls on PM, discusses rehab plans","Kerala Chief Minister Pinarayi Vijayan met Prime Minister Narendra Modi in Delhi to discuss the rehabilitation plans for Wayanad after deadly landslides. The CM requested Rs 2,000 crore in financial assistance from the Centre and submitted a detailed memorand…",https://timesofindia.indiatimes.com/city/thiruvananthapuram/kerala-cm-pinarayi-vijayan-calls-on-pm-discusses-rehab-plans/articleshow/112865022.cms,2024-08-28T10:29:58Z,From black tiger to spotted zebra: 8 rare animals in the world
Lse.ac.uk,Why doesn’t the BJP face greater resistance from lower castes in Gujarat? Part 2,"Desai, Manali and Roy, Indrajit (2013) Why doesn’t the BJP face greater resistance from lower castes in Gujarat? Part 2. (13 Mar 2013). Website.",http://eprints.lse.ac.uk/125242/,2024-08-28T10:29:19Z,"Desai, Manali and Roy, Indrajit 
(2013)
Why doesnt the BJP face greater resistance from lower castes in Gujarat? Part 2.
(13 Mar 2013).
Website.
In Part 1 of this post, LSEs Dr Manali Desai (Dep… [+506 chars]"
The Times of India,"Cabinet Briefing Highlights: 12 industrial smart cities to new railway corridors, here are the key decisions","The Union Cabinet led by PM Modi has approved the development of 12 Industrial Smart Cities under the National Industrial Corridor Development Programme. The cabinet also allowed expansion of the Agricultural Infrastructure Fund, announced three new railway p…",https://economictimes.indiatimes.com/news/economy/policy/cabinet-briefing-highlights-12-industrial-smart-cities-to-new-railway-corridors-here-are-the-key-decisions/articleshow/112864180.cms,2024-08-28T10:09:38Z,Prime Minister Narendra Modi-led Union Cabinet on Wednesday gave approval to some of the major projects with the aim to boost infrastructure and employment opportunities in the country. While briefin… [+6156 chars]
The Punch,Political rivalry ignites violence in Indian rape protests,"Thousands of protesters clashed in India’s eastern city of Kolkata on Wednesday, where demonstrations seeking justice for a murdered doctor spiralled into violent street skirmishes between political rivals. The discovery of the 31-year-old doctor’s bloodied b…",https://punchng.com/political-rivalry-ignites-violence-in-indian-rape-protests/,2024-08-28T10:07:40Z,"Thousands of protesters clashed in India’s eastern city of Kolkata on Wednesday, where demonstrations seeking justice for a murdered doctor spiralled into violent street skirmishes between political … [+2949 chars]"
The Times of India,"Cabinet approves Rs 4,136 cr equity support to northeast states for hydropower development","On Wednesday, the Union Cabinet, led by Prime Minister Narendra Modi, approved Rs 4,136 crore in equity support for hydropower development in northeast India. The scheme, running from FY 2024-25 to FY 2031-32, aims to support around 15,000 MW of hydro capacit…",https://economictimes.indiatimes.com/news/economy/policy/cabinet-approves-rs-4136-cr-equity-support-to-northeast-states-for-hydropower-development/articleshow/112864113.cms,2024-08-28T10:07:38Z,"The Union Cabinet, chaired by the Prime Minister Narendra Modi on Wednesday gave nod to Rs 4,136 crore equity support to northeast states for hydropower development.""This scheme has an outlay of Rs. … [+1678 chars]"
Crypto Briefing,India’s central bank proposes ‘plug-and-play’ CBDC framework for cross-border transactions,"India's proposed CBDC framework could significantly enhance global financial integration and efficiency in cross-border transactions.
The post India’s central bank proposes ‘plug-and-play’ CBDC framework for cross-border transactions appeared first on Crypto …",https://cryptobriefing.com/rbi-cbdc-interoperability-system/,2024-08-28T10:05:30Z,"Key Takeaways
<ul><li>RBI's new CBDC system aims to enhance global payment efficiency.</li><li>Interoperability is a core feature of RBI's proposed CBDC framework.</li></ul>
Share this article
The… [+2415 chars]"
Yahoo Entertainment,"Kremlin, dismissing Zelenskiy's talk of plan to end war, says Russia will keep fighting",The Kremlin on Wednesday dismissed talk by Ukrainian President Volodymyr Zelenskiy about a plan he has to end the war and said Russia would continue what it ...,https://www.yahoo.com/news/kremlin-dismissing-zelenskiys-talk-plan-100107758.html,2024-08-28T10:01:07Z,"MOSCOW (Reuters) - The Kremlin on Wednesday dismissed talk by Ukrainian President Volodymyr Zelenskiy about a plan he has to end the war and said Russia would continue what it calls its ""special mili… [+1576 chars]"
The Times of India,Cabinet approves expansion of Agri Infra Fund,"The Union Cabinet, led by Prime Minister Narendra Modi, has approved the expansion of the Agricultural Infrastructure Fund (AIF). The initiative aims to bolster agricultural infrastructure, support viable community farming assets, include integrated processin…",https://economictimes.indiatimes.com/news/economy/agriculture/cabinet-approves-expansion-of-agri-infra-fund/articleshow/112863955.cms,2024-08-28T09:55:16Z,Union Cabinet chaired by Prime Minister Narendra Modi on Wednesday approved the expansion of Agricultural Infrastructure Fund (AIF).To enhance and strengthen the agricultural infrastructure in the co… [+1326 chars]
The Times of India,"Cabinet approves 3 railway projects worth Rs 6,456 cr","On Wednesday, the Union Cabinet approved three railway projects valued at Rs 6,456 crore. These projects, spanning Odisha, Jharkhand, West Bengal, and Chhattisgarh, will expand the Indian Railways network by approximately 300 kilometers. They include the cons…",https://economictimes.indiatimes.com/industry/transportation/railways/cabinet-gives-nod-to-3-railway-projects-worth-rs-6456-cr/articleshow/112863828.cms,2024-08-28T09:50:37Z,"The Union Cabinet, chaired by the Prime Minister Narendra Modi on Wednesday approved 3 railway projects worth Rs 6,456 crore.The three projects covering 7 Districts in 4 States i.e., Odisha, Jharkhan… [+1046 chars]"
NDTV News,"""12 New Smart Cities, 10 Lakh New Jobs"": Ashwini Vaishnaw","The cabinet has decided to build 12 industrial smart cities across the country, Union minister Ashwini Vaishnaw announced today .The government has earmarked Rs 28,602 crore for this big push on manufacturing, the minister said.",https://www.ndtv.com/india-news/12-new-smart-cities-10-lakh-new-jobs-ashwini-vaishnaw-on-cabinet-decisions-6436159,2024-08-28T09:40:06Z,"New Delhi: The cabinet has greenlighted a mega project to build 12 industrial smart cities across the 10 states, Union minister Ashwini Vaishnaw announced today. The cities will come up along six maj… [+1486 chars]"
Biztoc.com,India's refusal to take a side in the Ukraine war is frustrating the West. But it has its reasons,"Indian PM Narendra Modi hugs Ukraine's President Volodymyr Zelenskyy. Modi has exchanged warm words with both Ukraine's and Russia's leaders.
Global Images Ukraine via Getty Images
Despite pressure from Western allies, India has refused to isolate Russia over…",https://biztoc.com/x/12ed94e9e56f2add,2024-08-28T09:38:51Z,Indian PM Narendra Modi hugs Ukraine's President Volodymyr Zelenskyy. Modi has exchanged warm words with both Ukraine's and Russia's leaders.Global Images Ukraine via Getty ImagesDespite pressure fro… [+138 chars]
Business Standard,"Foundations laid by PMJDY strong, have even more work to do, says PM Modi",He further added that the life journeys of those who have benefited from this scheme (PMJDY) are very touching and inspiring,https://www.business-standard.com/india-news/foundations-laid-by-pmjdy-strong-have-even-more-work-to-do-says-pm-modi-124082800666_1.html,2024-08-28T09:37:19Z,"He further added that the life journeys of those who have benefited from this scheme (PMJDY) are very touching and inspiring
Over 65 per cent of the accounts are in rural or semi-urban areas, extend… [+3885 chars]"
Business Insider,India's refusal to take a side in the Ukraine war is frustrating the West. But it has its reasons.,"India's stance on the Ukraine war highlights its strategic balancing act, with Narendra Modi playing nice with both Russia and the West.",https://www.businessinsider.com/india-refusing-take-sides-ukraine-reasons-modi-putin-zelenskyy-russia-2024-8,2024-08-28T09:33:54Z,"Indian PM Narendra Modi hugs Ukraine's President Volodymyr Zelenskyy. Modi has exchanged warm words with both Ukraine's and Russia's leaders.Global Images Ukraine via Getty Images
<ul><li>Despite pr… [+5168 chars]"
Livemint,Jacks of all trades: India’s bureaucracy needs experts,"India erred by rolling back its lateral entry attempt. The Indian state has too few senior officers and a small cadre of IAS generalists are empowered to make every decision that matters, even as the problems they face grow ever more complex.",https://www.livemint.com/opinion/online-views/ias-indian-administrative-service-lateral-entry-indian-bureaucracy-subject-experts-civil-service-evs-semiconductors-11724788286496.html,2024-08-28T09:30:01Z,"An old joke in Indian policy circles is that whatever the problem of governance or administration being discussed, you always wind up with the same constraint: a lack of state capacity. The Indian st… [+4541 chars]"
The Times of India,Uniform Civil Code to be implemented in Uttarakhand before Nov 9: CM Dhami,"Uttarakhand Chief Minister Pushkar Singh Dhami announced that the Uniform Civil Code (UCC) will be implemented in the state before November 9, the foundation day of Uttarakhand. The UCC aims to establish a uniform set of personal laws for all citizens. The bi…",https://economictimes.indiatimes.com/news/india/uniform-civil-code-to-be-implemented-in-uttarakhand-before-nov-9-cm-dhami/articleshow/112862260.cms,2024-08-28T09:05:03Z,"Dehradun: Chief Minister Pushkar Singh Dhami on Wednesday said that the government has resolved to implement the Uniform Civil Code (UCC) in the state before November 9, the foundation day of the Utt… [+2117 chars]"
Business Standard,"Gujarat floods: Kharge, Rahul urge govt to provide all possible assistance","Congress president Mallikarjun Kharge and Leader of Opposition in the Lok Sabha Rahul Gandhi on Wednesday expressed concern over the flood situation in Gujarat and urged the government to take all necessary steps to reduce the impact of the natural calamity.
…",https://www.business-standard.com/politics/gujarat-floods-kharge-rahul-urge-govt-to-provide-all-possible-assistance-124082800503_1.html,2024-08-28T08:53:28Z,"Gandhi said the flood situation in Gujarat is getting more severe day by day
A total of nine persons died in rain-related incidents, such as collapse of walls and drowning, in different parts of the… [+3538 chars]"
The Times of India,"Mamata Banerjee pledges capital punishment for rapists in new bill, blames PM Modi for Bengal unrest",West Bengal Chief Minister Mamata Banerjee will introduce a bill in the state assembly within ten days to ensure capital punishment for rapists. She criticized Prime Minister Narendra Modi for creating unrest in Bengal and called for stricter laws for women's…,https://economictimes.indiatimes.com/news/politics-and-nation/mamata-banerjee-pledges-capital-punishment-for-rapists-in-new-bill-blames-pm-modi-for-bengal-unrest/articleshow/112861458.cms,2024-08-28T08:38:00Z,West Bengal Chief Minister Mamata Banerjee said on Wednesday that she will pass a bill in ten days in the West Bengal assembly to ensure capital punishment for rapists. Banerjee also blamed Prime Min… [+2620 chars]
Gadgets360.com,ISRO Chief S Somanath Expects Budget Requirement to Grow by Up to 30 Percent in Coming Years,"The government has allotted nearly 130 billion rupees ($1.55 billion) to India's space department this year. Asked how much he expected funding to increase,ISRO chief Somanath said ""something like an additional 20-30%"", though ""over a long period of time"".",https://www.gadgets360.com/science/news/isro-chief-s-somanath-expects-budget-requirement-growth-coming-years-6435346,2024-08-28T08:23:25Z,"India's space agency expects a 20 percent-30 percent increase in its budget in the coming years, its head said in a Reuters NEXT Newsmaker interview on Tuesday, describing the agency's rocket launch … [+2670 chars]"
The Times of India,"Gujarat floods: Kharge, Rahul urge govt to provide all possible assistance","Congress leaders Mallikarjun Kharge and Rahul Gandhi have voiced deep concern over Gujarat’s worsening flood crisis, urging the government to ramp up relief efforts. With rains persisting for a fourth day, the death toll has reached 16 and over 8,500 people h…",https://economictimes.indiatimes.com/news/india/gujarat-floods-kharge-rahul-urge-govt-to-provide-all-possible-assistance/articleshow/112861134.cms,2024-08-28T08:23:11Z,Congress president Mallikarjun Kharge and Leader of Opposition in the Lok Sabha Rahul Gandhi on Wednesday expressed concern over the flood situation in Gujarat and urged the government to take all ne… [+2682 chars]
Business Standard,Bengal failed to implement schemes to deal with crimes against women: WCD,"Amid uproar over the rape of a doctor in West Bengal, Union minister Annapurna Devi has said the situation of women in the state has been ""deteriorating"" and slammed the Mamata Banerjee government for failing to implement central government schemes such as fa…",https://www.business-standard.com/politics/bengal-failed-to-implement-schemes-to-deal-with-crimes-against-women-wcd-124082800404_1.html,2024-08-28T08:13:38Z,"It is ironic that it is the only state in the country that has a woman chief minister and still the situation of women in the state is deteriorating, Women and Child Development minister Devi told PT… [+3619 chars]"
The Times of India,Ukraine's Zelenskyy will pitch plan to Biden to force Putin to end war,Ukraine's President Zelenskyy expressed that the ongoing war with Russia would eventually be resolved through dialogue. Kyiv aims to be in a strong position and has a strategic plan involving economic and diplomatic steps. Zelenskyy seeks to present the plan …,https://economictimes.indiatimes.com/news/defence/ukraines-zelenskyy-will-pitch-plan-to-biden-to-force-putin-to-end-war/articleshow/112860705.cms,2024-08-28T08:09:17Z,"Ukraine's Volodymyr Zelenskyy said on Tuesday that the war with Russia would eventually end in dialogue, but that Kyiv had to be in a strong position and that he would present a plan to U.S. Presiden… [+3112 chars]"
Bangkok Post,"Protesters block train tracks, buses in India over doctor's rape, murder","<p>KOLKATA - Protesters blocked train tracks, stopped buses and shouted slogans in the eastern Indian state of West Bengal on Wednesday, the latest in a series of <strong>protests</strong> that have rocked the state since the <strong>rape</strong> and <strong…",https://www.bangkokpost.com/world/2855326/bjp-bengal-strike-protesters-block-train-tracks-buses-in-eastern-india,2024-08-28T07:52:00Z,"KOLKATA - Protesters blocked train tracks, stopped buses and shouted slogans in the eastern Indian state of West Bengal on Wednesday, the latest in a series of protests that have rocked the state sin… [+1374 chars]"
NDTV News,"National Sports Day 2024: Date, History And Significance",National Sports Day: It is observed on August 29 every year. The day highlights the importance of sports and physical activities for overall health,https://www.ndtv.com/offbeat/national-sports-day-2024-date-history-and-significance-6435213,2024-08-28T07:27:30Z,"National Sports Day 2024: It marks the birth anniversary of hockey legend Major Dhyan Chand.
National Sports Day is observed on August 29 every year. Sports are an integral part of life. These activ… [+2126 chars]"
Business Standard,Collapsed Sindhudurg Shivaji statue artist booked for attempt to murder,"The statue of the 17th century Maratha empire founder, located at the Rajkot Fort in Sindhudurg, came crashing down on Monday, after just months of being inaugurated by Prime Minister Narendra Modi",https://www.business-standard.com/india-news/collapsed-sindhudurg-shivaji-statue-artist-booked-for-attempt-to-murder-124082800298_1.html,2024-08-28T07:15:07Z,"The statue of the 17th century Maratha empire founder, located at the Rajkot Fort in Sindhudurg, came crashing down on Monday, after just months of being inaugurated by Prime Minister Narendra Modi
… [+2130 chars]"
The Times of India,West Bengal failed to implement Centre's schemes to deal with crimes against women: WCD minister,"Union minister Annapurna Devi has criticized the Mamata Banerjee government, alleging that the situation of women in West Bengal is “deteriorating.” The remarks came amid public outrage over the rape of a doctor in the state. Devi accused the state government…",https://economictimes.indiatimes.com/news/politics-and-nation/west-bengal-failed-to-implement-centres-schemes-to-deal-with-crimes-against-women-wcd-minister/articleshow/112858403.cms,2024-08-28T07:01:15Z,"New Delhi: Amid uproar over the rape of a doctor in West Bengal, Union minister Annapurna Devi has said the situation of women in the state has been ""deteriorating"" and slammed the Mamata Banerjee go… [+2964 chars]"
BusinessLine,"PMJDY is paramount in boosting financial inclusion, says PM Modi","PM Modi and FM Sitharaman praise PMJDY for boosting financial inclusion, empowering marginalized communities, and transforming banking landscape.",https://www.thehindubusinessline.com/economy/pmjdy-is-paramount-in-boosting-financial-inclusion-says-pm-modi/article68575554.ece,2024-08-28T06:39:25Z,"Prime Minister Narendra Modi on Wednesday said that Pradhan Mantri Jan Dhan Yojana (PMJDY) has given dignity to crore of people. Echoing the same sentiment, Finance Minister Nirmala Sitharaman says t… [+3419 chars]"
The Times of India,PM Modi in US on September 22; to address diaspora in New York,"Prime Minister Narendra Modi will address the Indian diaspora on September 22 in New York at the 'Modi & US Progress Together' event. Organized by the Indo-American Community of USA, the event has seen 24,000 registrations despite a venue capacity of 15,000. …",https://economictimes.indiatimes.com/news/india/pm-modi-in-us-on-september-22-to-address-diaspora-in-new-york/articleshow/112857040.cms,2024-08-28T06:33:19Z,"Prime Minister Narendra Modi is all set to address the India diaspora on September 22 at the 'Modi &amp; US' Progress Together' event in New York, with the event receiving a whopping 24,000 registrat… [+3172 chars]"
